variable_id,variable_name,lob,Country,unit,comments,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
premiums,Premiums,aviation,lu,USD,,,,,,,,,,3122652.147,34269690,189231.4481,3507044.496,107202082.7,,
premiums,Premiums,marine,fr,USD,,224353699.8,236860347.4,268006169.1,329226907.5,329875941.3,303113570.8,345811411.2,379113664.9,357531135.6,355740267.5,367470775.3,289511151.2,273600062.4,,
premiums,Premiums,aviation,lv,USD,,,,,,,,,,502038.5823,293391.9816,489353.7645,287554.1985,331638.2741,,
premiums,Premiums,marine,gb,USD,,,,730240603.3,815431247.9,1496069983,1602715157,1913430144,2801248767,2180514001,2482363048,2679001295,2443044975,2084036877,2016702499,
premiums,Premiums,marine,gh,USD,,,,,,,,10654488.86,12391675,7058066.723,9546156.195,19058685.26,,,,
premiums,Premiums,aviation,pe,USD,,,,,17661547.43,22134327.84,21230061.49,17896531.89,18586854.09,23404418.17,23968692.69,34047542.05,20528554.59,45152015.14,38316577.66,
premiums,Premiums,marine,gr,USD,,,16215293.18,18558091.73,24558771.07,24309078.73,27605694.44,31968451.9,34071431.66,33054982.47,26044213.13,23396183.69,17590533.41,14442318.29,15305924.83,
premiums,Premiums,aviation,pl,USD,,9197410.923,9309735.7,13203696.02,9808652.862,13488930.12,12331835.23,12353495.24,16017276.24,14197534.42,18647332.87,19085274.58,18430601.74,17360806.07,11373856.47,
premiums,Premiums,marine,hk,USD,,52854521.92,57025764.1,72969132.29,86323191.56,91021264.41,99177433.89,121543203.1,114976728.4,155692569.5,128790216.1,137757149.2,144822096.8,152694881.3,,
premiums,Premiums,aviation,pt,USD,,,,,,,,24553569.64,24483443.05,24007651.68,21175900.52,15365315.3,10072468.34,9169586.557,7739173.456,
premiums,Premiums,marine,id,USD,,,,,,,51829793.27,55433427.29,60426152.89,69496886.36,88835803.54,112524866.9,107626542.2,94318463.83,,
premiums,Premiums,aviation,ru,USD,,,,,,,,,,,,268800855.8,279151991.2,,,
premiums,Premiums,marine,ie,USD,Assumption based,,,,,,,,7825384.828,5599117.573,5078799.776,5104518.628,4541821.484,4315454.682,,
premiums,Premiums,aviation,sa,USD,,,,,,,,,36933366.49,46426681.09,81199928.07,72560036.13,17885339.83,38400013.76,37333306.65,
premiums,Premiums,marine,il,USD,Assumption based,,,,,1878772.333,2049895.785,2223409.245,2610952.568,2620573.227,2693452.823,2683623.262,2490287.606,2464788.546,,
premiums,Premiums,marine,in,USD,,,,,,,,,425493844.1,456963005.2,552870554.4,599940075.9,556708168.5,521305764.6,,
premiums,Premiums,aviation,se,USD,,,,,,,,,131237.6672,774646.0247,739227.96,842529.7238,464205.8578,452872.7031,438579.3457,
premiums,Premiums,marine,it,USD,,249878971,300325320.8,331332521.4,418993458.6,457192109,416875333.5,413932010.2,459174935.8,466587185.2,426129337.7,438293427.6,332963535.4,332114615.5,,
premiums,Premiums,aviation,th,USD,,,78335658.61,47644559.59,57466129.18,51590660.4,39452680.91,30507946.52,35811602.8,14934825.25,46759164.65,39524401.13,41192532.72,33188734.17,,
premiums,Premiums,aviation,tr,USD,,,,,,,,,48139919.37,67357108.73,65080966.54,86095093.67,71860716.81,58539505.18,69212280.19,
premiums,Premiums,marine,jp,USD,,,,,1871286796,1966961122,2023753544,2104285264,2219950918,1985645185,2238793190,2441552256,2479845533,2219996422,,
premiums,Premiums,aviation,tw,USD,,,,,,,,,,,39845266.23,37225659.72,28228407.91,23378587.8,26703748.25,
premiums,Premiums,marine,ke,USD,,,,,,,,22204265.61,22801639.64,21026960.35,25881984.7,26088347.97,30521564.11,32223222.83,31010199.17,
premiums,Premiums,aviation,tz,USD,,,,,,,,,,,5789442.463,6729637.79,6346671.905,5256200.088,,
premiums,Premiums,marine,kh,USD,,,,,,,503957.33,425614.42,330587.37,473372.72,477415.45,598163.0094,668026,,,
premiums,Premiums,marine,kr,USD,,409092798.7,448406738.4,439780085.6,442677615.7,515566131.8,662086602.6,701635499.9,772199540.2,630418301.4,667784624.8,784991817.2,730600267.9,959032957.8,697081986.3,
premiums,Premiums,aviation,us,USD,,,,,,,,2285038966,1806949955,1833565314,1646827804,1615766815,1677926193,1545987472,1496000000,
premiums,Premiums,marine,lt,USD,,,,,,,,,1250358.96,907826.6018,776997.7347,690877.8954,738349.3757,479271.3548,,
premiums,Premiums,aviation,ve,USD,,,,,,,,,47355091.32,39592874.88,54736686.34,57890347.93,56048042.96,65582140.1,,
premiums,Premiums,marine,lu,USD,,,,,,,,,,703362.7717,1088053.038,673441.33,1336996.435,1879340.234,,
premiums,Premiums,aviation,zw,USD,,,,,,,,,,,,,4255000,4481000,,
premiums,Premiums,marine,lv,USD,,,,,,,,,,586879.7339,492926.6525,691764.5117,735461.1136,586866.4579,,
premiums,Premiums,aviation,ae,USD,Assumption based,,,,,,,183467618.4,213039182.6,225487451.6,249241376.1,259805564.7,258526398.3,190534110.7,,
premiums,Premiums,marine,ma,USD,Assumption based,,,,,,,,,20106273.16,19652454.27,21133723.13,17846710.81,16366785.11,15838697.97,
premiums,Premiums,aviation,au,USD,Assumption based,,,,,183662020.5,184799198.4,210483915.4,210995041.2,207985920.6,254001849.7,292375003.4,298565448.7,284694762.4,268776874.1,226269954
premiums,Premiums,marine,mu,USD,Assumption based,,,,,,,,1952467.558,2207502.338,2252517.261,2842682.765,2523448.9,2801387.817,,
premiums,Premiums,aviation,be,USD,Assumption based,58245293.56,74552179.99,99905271.58,109842220,105982511.1,125313006.6,125576477.5,155905541.7,129315941.3,119940732.2,141138108.8,111473331.2,102671281.9,,
premiums,Premiums,marine,mx,USD,Assumption based,81910148.75,93103637.62,88795759.89,87338953.23,94076825.67,92276691.32,112793851.9,107360560.1,103882588.4,104829449.1,117453592.6,134586563.8,130705133.1,,
premiums,Premiums,aviation,bh,USD,Assumption based,,,,,,,7504556.435,8156904.197,8591461.873,8700813.205,7721485.337,7613306,6611160.946,,
premiums,Premiums,marine,my,USD,Assumption based,,,,,,73131207.31,80843445.64,82904233.1,77663915.05,93332223.55,108112089.2,112105220,107940572.9,113314308.3,
premiums,Premiums,marine,ng,USD,,,,,,,,86928753.89,140671503.3,116866521.4,143314177.6,148295570.1,167785072.6,,,
premiums,Premiums,aviation,bw,USD,Assumption based,,,,,,,,,,,,1614817.594,577291.1189,,
